Title,Abstract,Speaker,Type,Category,Session_start,Time_start,Time_end,Day,,,,,,
Discussion,,,,Fuelling,False,12:20,13:00,Monday,,,,,,
Lunch,,,,Conference,False,13:00,14:30,Monday,,,,,,
Jet power across diverse AGN populations,"I will review methods for estimating the power of AGN jets, and what they can tell us about different AGN populations, their powering mechanisms, and their connection to environment. I will consider questions that include: the reliability of scaling relations between radio observables and jet power, the factors that influence them, how jet power scaling relations may evolve with redshift, and what information we need to work towards reliable estimates of jet impact at high redshift. I will also highlight the wealth of information that new radio surveys are providing to address these questions.",Judith Croston,Invited,Jet formation and physics,True,14:30,15:00,Monday,,,,,,
Studying the link between radio galaxies and AGN fuelling with relativistic hydrodynamic simulations of flickering jets,"Flickering variability is ubiquitous in accreting sources and occurs within the chaotic cold accretion model. In addition, jetted AGN show evidence of variability in their morphologies. Despite this, many theoretical studies focus on steady or ""on-off"" jets. I will present new work in which we characterise AGN jet variability as a noisy process, and conduct kpc-scale hydrodynamic simulations in which the jet power varies with flicker noise properties. We find the dynamics of the jet cocoon depend on the variability amplitude with a clear link between the cocoon shape and historical activity. The jet advances quickly during high states, whereas low states resemble Sedov blast waves. Periods of high activity create stronger backflow, and the variability leads to propagating internal shocks. In addition, we use synthetic images to show that jet variability creates dramatic changes in hotspot structure, lobe morphology and brightness distributions. We discuss various implications, including for observations and particle acceleration, and estimate the scatter introduced to power-luminosity correlations. Overall, we propose that radio galaxies are an important diagnostic of Myr timescale AGN fuelling, due to their `long-term memory'.",James Matthews,Contributed,Jet formation and physics,False,15:00,15:15,Monday,,,,,,
AGN on the Beach of X-ray Polarimetry,"X-ray polarimetry is a crucial diagnostic tool to investigate the disk-corona scattering geometry in Active Galactic Nuclei (AGN) and the particle acceleration mechanisms in AGN jets. However, only recently, thanks to the sensitivity of the detectors on board the Imaging X-ray Polarimetry Explorer (IXPE), it became possible to perform X-ray polarimetric measurements of extragalactic sources. In this talk, we will summarize the remarkable discoveries achieved thanks to the new window of X-ray polarimetry, with a focus on the geometry in the disk, wind, and torus in radio-quiet AGN, as well as the acceleration mechanisms in relativistic jets from radio-loud AGN. In particular, we will present the results of recent IXPE observations of NGC 4151 (a prototypical Seyfert 1) and Mrk 421 (a prototypical blazar). Finally, we will discuss future perspectives for a deeper understanding of the geometrical and dynamical properties of AGN.",Dawoon Edwin Kim,Contributed,Jet formation and physics,False,15:15,15:30,Monday,,,,,,
Regular cofee break,,,,Conference,False,15:30,16:00,Monday,,,,,,
Spectacular 240 kpc double-sided relativistic jets in a spiral- hosted narrow-line Seyfert 1 galaxy,"Narrow-line Seyfert 1 (NLS1) galaxies are a sub-class of active galactic nuclei (AGN). Their narrow permitted lines can be explained with a low gas velocity around a low-mass black hole (BH). Some authors, instead, proposed that the low BH mass is due to an inclination effect.  Studying host galaxy morphologies can be useful to disentangle these two scenarios. Moreover, NLS1s have demonstrated that the presence of radio jets in an AGN is governed by other factors than those previously believed. To this aim, I worked on radio and NIR/optical properties of a remarkable NLS1, J0354-1340. From the VLA observations, I found that the source shows very extended radio jets, the largest found to date in an NLS1. The high spectral index of the extended emission is due to the interaction between the extended jets and the ICM, which re-accelerates the electrons in the lobe. By means of photometric decomposition and colour maps, I found this NLS1 hosted by a disc-like galaxy, probably with pseudobulges. My results confirm that powerful jets can also be launched and sustained by less massive BHs in spiral galaxies dominated by secular processes and not only by elliptical galaxies hosting the massive BHs and experiencing merger events.",Amelia Vietri,Contributed,Jet formation and physics,True,16:00,16:15,Monday,,,,,,
The CosmoDRAGoN simulations: dynamics and radio observables for AGN jets in realistic environments,"Observable properties of AGN jets and jet-inflated structures are highly dependent on the properties of both the jets and their environments. I will present the first results from the CosmoDRAGoN project (https://arxiv.org/pdf/2212.10059.pdf), the largest suite of 3D relativistic jet simulations in realistic environments to date. We inject conical jets into re-gridded SPH outputs of groups and clusters from cosmological galaxy formation simulations, simulating the active and remnant phases of the AGN lifecycle. By combining grid and particle-based methods with analytical post-processing, we calculate synchrotron emission for our simulated sources, capturing particle acceleration and loss processes across a wide range of jet ([non-]relativistic speeds, opening angles) and environment (mass, redshift) parameters. Our simulations reproduce FR-I and FR-II morphologies and make detailed predictions for resolved radio spectra. I will discuss how intrinsic AGN properties relate to observable emission and the implications for population studies of radio AGN and AGN feedback. I will also discuss recent work extending CosmoDRAGoN to predict the full Stokes parameters and present results of using Faraday rotation to probe AGN environments.",Larissa Jerrim,Contributed,Jet formation and physics,False,16:15,16:30,Monday,,,,,,
The X-ray obscuration and the origin of the high-energy emission in young radio sources,"The early jet-ISM feedback can be  studied in depth in Compact Symmetric Objects (CSOs), which have the radio lobe emission on both sides of an active nucleus and the projected radio size LS < 1 kpc. We present the radio-to-gamma-ray SED modeling of four CSOs, which are among the nearest (z < 0.2) and youngest (age < 450 yr) CSOs known to date: PKS 1718-649, a gamma-ray loud and X-ray unobscured source, and three gamma-ray quiet CSOs with X-ray absorption NH > 10^23 cm^-2. The extent of their radio lobes, LS < 25 pc, is comparable with that of the obscuring tori observed with ALMA in a number of AGN. We show that in the framework of the expanding radio lobe model, the mix of the Inverse Compton (IC) scattering of the IR and UV photons off the ultra-relativistic lobe electrons is able to account for the gross of the CSO X-ray emission. We report on a correlation between the radio slope and X-ray NH, which explains the gamma-ray quietness of the CSOs with high NH. Conversely, the gamma-rays detected with Fermi/LAT from PKS 1718-649 can be modeled well with the IC scattering of the UV photons. Our results indicate an intriguing interplay between the central ISM and the properties of the young radio lobe electrons.",Malgosia Sobolewska,Contributed,Jet formation and physics,False,16:30,16:45,Monday,,,,,,
The z=6.18 radio quasar CFHQS J142952+544717 under Chandra X-ray lens,"The search for jetted quasars at high redshift (z>5-6) is an active field with ground-breaking discoveries following each other. The existence of these objects is in fact a challenge for model of structure formation, as their radio power requires a very massive black hole, and represents an unique opportunity to investigate the formation and expansion of jets at cosmic dawn. Among the few known radio-loud quasars at z>6, CFHQS J142952+544717 is characterised by a moderate radio-loudness and an extremely high X-ray luminosity (>10^46 erg/s), as reported by eROSITA and XMM-Newton observations. VLBI observations showed a compact (<100 pc) but marginally resolved morphology and a brightness temperature (T_B~10^9 K) that  does not support an aligned jet, hence disfavouring Doppler boosting as the reason of the high X-ray luminosity, and possibly pointing to an initial stage of its radio activity. Here, we present the results of a ~30 ksec Chandra observation that allowed us to perform the first X-ray study of J1429 at sub-arcsecond resolution.",Giulia Migliori,Contributed,Jet formation and physics,False,16:45,17:00,Monday,,,,,,
Discussion,,,,Jet formation and physics,False,17:00,17:40,Monday,,,,,,
Jet-feedback on kpc scales: a review,"Relativistic jets from AGNs are an important driver of feedback in galaxies with an active black hole. They impact the nearby environment over different physical scales during their lifetime, with varying effects. Although the impact of such jets have primarily been considered in the context of heating the large scale environment, recent series of works over the last decade, both in observations and theory, have focused on their immediate impact on the host galaxy itself. The jets can act as an important agent of injecting energy in the host's ISM, as confirmed both in observations of multi-phase gas, as well as in simulations. Such interactions have the potential to impact the kinematics of the gas as well its star formation.  However, to what extent such feedback are efficient in impacting the large scale gas in the galaxy is still a question of debate. I will review the results in this context both from observations and theoretical simulations, and discuss the potential caveats and open questions. ",Dipanjan Mukherjee,Invited,Feedback (circumnuclear and galactic scales),True,09:00,09:30,Tuesday,,,,,,
"Modelling observational aspects of jet feedback: ionization, emission, kinematics and polarization","Jet driven feedback has been predicted to be an important contributor to the host galaxy’s evolution. However, both qualitative and quantitative constraints on such activity are lacking due to absence of spatially resolved simulations and predictions regarding observable features. To bridge this gap, we have started a series of works to predict observable features expected from high resolution simulations of relativistic jets interacting with their environment. In Meenakshi et al. (2022a,b) we attempted to explore the extent of ionization, and emission and kinematics from the shocked gas. We found that the shocks from the jets can ionize a significant fraction of dense gas in the disc as well as clear out the central region, allowing AGN radiation to travel farther. The jets produce large-scale outflows, creating high-velocity dispersion and disrupted symmetry in the projected velocity fields. We have also performed RMHD simulations of jets interacting with a magnetized ambient medium. We find that the forward shock of the jet compresses and amplifies the magnetic field, and the random polarity of the magnetic fields in the shocked ambient medium lead to depolarization of the synchrotron radiation produced in the jet.",Meenakshi Moun ,Contributed,Feedback (circumnuclear and galactic scales),False,09:30,09:45,Tuesday,,,,,,
The ALMA view of the gas cycle in nearby AGN,"High-resolution (<10-100pc) images of the distribution and kinematics of molecular gas in the central disks of nearby AGN are key to deciphering the mechanisms regulating the gas cycle of nuclear activity in galaxies. These observations are now accessible for an increasing number of targets thanks to the advent of ALMA.  We describe how detailed studies conducted by our group have underlined the potential role of radio jets in launching molecular outflows in a number of AGN (NGC1068, NGC5643, NGC5506, NGC2110 & NGC613). We have also searched for the imprint left by AGN feedback on the radial distribution of molecular gas using ALMA images from >70 close AGN in 3 CO lines obtained by the NUGA, GATOS, WISDOM and LLAMA projects. Using different prescriptions for the distribution of molecular gas  we find enhanced nuclear-scale molecular gas deficits in the most extreme AGN. We detect molecular outflows in the sources showing the most extreme nuclear-scale gas deficits. This suggests that AGN feedback can be caught at work more frequently  in higher luminosity or higher Eddington ratio sources. We explore avenues to validate this evolutionary scenario using numerical simulations of the feeding and feedback cycle in galaxy disks.  ",Santiago Garcia Burillo,Contributed,Feedback (circumnuclear and galactic scales),False,09:45,10:00,Tuesday,,,,,,
Kinetic outflow of Low Luminosity AGN: the PARSEC view,"Low luminosity Active Galactic Nuclei (AGN) represent the vast majority of the AGN population in the near universe. Their relatively large BH masses and low luminosity place them in the very low Eddington ratio regime, and still, despite their low radiative significance, their main main channel for release of energy is thought to be mechanical via  their jets.  
I will show that parsec-scale observations across the electromagnetic spectrum of some of the nearest low Eddington cases reveal their spectral energy distribution to be fundamentally   dominated by jet emission  over circa  ten order of magnitude in frequency. Moreover,  some of these nuclei show a highly ionised spectrum of coronal lines in the IR. When resolution permits,  this emission show extended and collimated over parsec scales in the jet direction.  I will discuss  how these lines become  genuine tracers of  the  mechanical power dumped by the jet into the medium. On the basis of the energetics so far estimated, the  net balance between  radiative  and mechanical power in these sources will be presented.",Almudena Prieto,Contributed,Feedback (circumnuclear and galactic scales),False,10:00,10:15,Tuesday,,,,,,
Flash Talks 2,The impact of radio jets from AGN on star formation <p> Analysis of SDSS spectra of young radiogalaxies <p> The impact of mechanical AGN feedback on Molecular Gas Dynamics via hydrodynamic simulation <p> Outflows in the radio-loud galaxy UGC 8782 (3C 293): a view from optical and infrared spatially resolved observations <p> Extreme H2 emission on M58: a detailed study of how radio-jet affects the ISM and the star formation <p> Environmental Dependence of Self-regulating Black Hole Feedback in Massive Galaxies,"Marie Drevet Mulard, Barbara Marques, Mojtaba Raouf, Marina Bianchin,  Iván E. Lopez, Deovrat Prasad",Contributed,Feedback ,False,10:15,10:45,Tuesday,,,,,,
Long poster break,,,,Conference,False,10:45,11:25,Tuesday,,,,,,
Evidence of Jet induced shocked ionized outflow at pc scale,"AGN can have an impact on their host galaxy via radiation, outflows and relativistic jets from them by their capability to heat, compress and/or remove gas, at different scales. On an observational perspective, the impact of AGN on their host galaxies is a matter of debate. To understand the complex connection between AGN and the ISM of their hosts at small scale, we present the studies of one nearby AGN host galxay, NGC4395. NGC4395 hosts a IMBH, having mass 10^4 - 10^5 M_sun and situtated at a distance of ~4.5 Mpc. Using optical IFU data from GMOS, we found the presence of ionized outflowing gas, co-spatial with resolved radio jet like structure at 15 GHz at 10 pc scale. The asymmetry in the ionized [OIII] line and the high velocity dispersion indicates that the medium is kinematically disturbed. Using CLOUDY and MAPPING III model, we found the ionization is to be due to shocks. The power of the jet is ~10^39 erg/s which is higher than the power of ionized outflowing gas (~4x10^36 erg/s). From Gemini-NIFS and ALMA data, we found a spatial offset of cold molecular gas (CO 2-1) relative to nuclear hot molecular gas (H2 2.408 um) favouring a scenario of the AGN inhibiting star formation on 10 pc scale.",Payel Nandi,Contributed,Feedback (circumnuclear and galactic scales),True,11:25,11:40,Tuesday,,,,,,
Jet-ISM interaction revealed by JWST/MIRI spectroscopy,"The mid-IR range contains a unique set of spectral features (rotational H2 transitions, ionized gas tracers, and coronal lines) that are key to quantify the impact of radio jets on the dusty circum-nuclear ISM. For the first time, JWST mid-IR spectroscopy can spatially and spectrally resolve the jet-ISM interaction in nearby galaxies enabling new insights into this phenomenon.

I will present the initial analysis of the mid-IR data obtained for NGC 7319 (Sy2 AGN in the Stephan's Quintet) as part of the JWST Early Release Observations, as well as other AGN observed by Early Release Science and Cycle 1 programs.
Warm/hot molecular H2 and ionized gas emission is detected at the radio hotspots while extended coronal emission ([Mg V], [Ne VI] and [Ne V]) is seen close to the jet axis for some objects.
The mechanical energy in these gas phases at the radio hotspots seems to be small (<1%) compared to the jet energy and it is well below the expectations from relativistic jet simulations. I will present possible scenarios to explain this result which is apparently at odds with the predictions of theoretical models.",Miguel Pereira-Santaella,Contributed,Feedback (circumnuclear and galactic scales),False,11:40,11:55,Tuesday,,,,,,
Elucidating the impact of galaxy substructure on black hole growth and AGN feedback,"We still have major gaps in our understanding of the role of AGN feedback in driving galaxy evolution and self-regulating black hole growth. We routinely find observational signatures of outflows, and we know that this material can entrain or heat gas along the way but mysteries remain regarding their actual impact on the host galaxy. I will present a detailed case study of nearby active galaxy NGC7582 for which we found an important role played by galaxy substructure (600pc ring) in collimating the AGN outflows and also containing a radio jet with low inclination w.r.t. the main galaxy disk, thereby shielding the host galaxy from both forms of AGN feedback (winds and jet). This analysis was based on high quality 3D spectroscopy from VLT/MUSE spanning 8 kpc across for NGC 7582. We mapped the stellar and gas kinematics, ionized gas properties, and radio continuum, clearly distinguishing between the rotating galactic disk and the AGN-photoionized outflow. We augment the analysis with ALMA data that revealed a molecular torus and a ring. While such detailed analyses are only feasible for nearby galaxies, they give us a preview of technical feats that we will achieve at higher redshifts with JWST or with the large aperture telescopes.",Stéphanie Juneau,Contributed,Feedback (circumnuclear and galactic scales),False,11:55,12:10,Tuesday,,,,,,
Quasar winds modify the distribution of cold molecular gas and young stellar populations in the central kiloparsec of galaxies,"Different modes of AGN feedback are now considered key processes in the evolution of massive galaxies by regulating black hole and galaxy growth. Indeed, a wealth of observational evidence demonstrates that feedback from supermassive black holes impacts the galaxies and the halos they inhabit on a wide range of scales: from the central parsecs to hundreds of kpc. What we are still far from understanding is how AGN feedback couples with the host galaxy, which is what ultimately determines its efficiency. The aim of our project is to answer this question by quantifying the impact of multi-phase quasar-driven outflows and jets on the nuclear regions of galaxies, which have the same dynamical timescales as AGN activity and the outflows and jets that it drives. I will present recent results based on high angular resolution data from cutting-edge telescopes including Keck, Gemini, and ALMA. We do not find evidence for a significant impact of quasar-driven winds/jets on the total molecular gas reservoirs and star formation rates, but they are undoubtedly modifying the distribution of cold molecular gas and young stellar populations (ages < 100 Myr) in the central kpc of the galaxies. ",Cristina Ramos Almeida,Contributed,Feedback (circumnuclear and galactic scales),False,12:10,12:25,Tuesday,,,,,,
Extended forbidden high-ionisation gas as a signature of jet-driven outflows in AGN,"The kinetic channel is usually regarded as the dominant feedback process in radio-galaxies. However, its effect in radio-weak AGN (RWAGN) is still uncertain and poorly assessed. In this context, we study the kinetic feedback in 7 bona-fide RWAGN by means of the high-ionisation gas (HIG) and MUSE spectroscopy. We found that the [FeVII] 608.7 nm, the [FeX] 637.4 nm, and the [SiVI] 1963 nm emission suitably traces that feedback component. In all cases the HIG is strongly aligned to the radio-jet and the X-ray emission, extending to scales of 2−3 kpc from the centre. Moreover, the gas kinematics is highly perturbed, decoupled from galaxy rotation, with velocities reaching ∼800 km/s relative to the systemic velocity at locations as far as 1 kpc from the AGN. Models combining the effects of both photoionization by central source and shocks support the scenario where the HIG is essentially shock-driven, most likely by the radio jet. We show that the detection of extended HIG unambiguously probes the presence of the kinetic channel in RWAGN, with outflow rates as large as those measured in radio-galaxies.  Moreover,  it can be used to measure the kinematics of the thermal X-ray emitting gas because of the interval in IP it covers. ",Alberto Rodríguez-Ardila,Contributed,Feedback (circumnuclear and galactic scales),False,12:25,12:40,Tuesday,,,,,,
Feedback on ionised gas over the radio AGN life-cycle,"Jet driven gas outflows have been observed in radio loud AGN, and radio AGN are also known to have a life-cycle of activity. However it is still not completely clear how feedback evolves with the AGN life-cycle. In the first part of my talk, I will discuss our results from a study to investigate this with a sample of uniformly selected 129 radio AGN up to z=0.2 and L(1.4 GHz)=1e26 W/Hz. We used radio spectral shape from 144-3000 MHz (LoTSS, FIRST, VLASS) as a proxy for the evolutionary stage of the AGN, and [OIII] spectra to trace the warm ionised gas kinematics. We found that outflows in young sources (peaked radio spectrum) were more extreme than evolved sources (non-peaked), and are typically short lived. This was true even if we included the [OIII] non-detections and used a stacking analysis, showing this is true on average for the radio AGN population. For candidate restarted AGN, we found tentative evidence for more disturbed gas kinematics, suggesting a link with episodic jet activity. In the second part, I will discuss new results from an expansion of this study to ~5500 sources, up to z=0.8 and L(1.4 GHz)=1e28 W/Hz. Our findings support the picture from simulations where impact of feedback changes as the radio jets grow.",Pranav Kukreti,Contributed,Feedback (circumnuclear and galactic scales),False,12:40,12:55,Tuesday,,,,,,
Signatures of jet-cloud interaction in radio-loud AGNs from MALS Data Release I (DR1) sample,"Cold gas viz. atomic and molecular hydrogen forms the dominant fraction of known AGN driven outflows as well as fuels both star-formation and AGN activity. The MeerKAT Absorption Line Survey (MALS; https://mals.iucaa.in/) aims to provide a dust-unbiased census of kinematics and distribution of cold gas associated with radio-loud AGNs up-to a redshift of 1.5, where steep evolution in AGN activity takes place. MALS has observed nearly a million radio sources using MeerKAT's L- and UHF-bands, with continuum and spectral line sensitivities of ~20 microJy/b and ~0.5 mJy/b per 6 km/s channel, respectively. I’ll discuss the continuum catalogs from the survey, sources from which are being searched for HI 21-cm and OH 18-cm absorptions (tracers for cold gas). Combining wideband SEDs from MALS with multi-wavelength data, we aim to characterize the host-galaxy/AGN properties, enabling studies of various correlations between jet power, jet age etc., with properties of the outflowing gas. The large sample of associated absorbers from the survey will probe multiple scenarios of jet-cloud interaction. I’ll present a few such examples of systems where combining radio and multi-wavelength data allowed us to constrain AGN-driven outflow scenarios.",Partha Pratim Deka,Contributed,Feedback (circumnuclear and galactic scales),False,12:55,13:10,Tuesday,,,,,,
Lunch,,,,Conference,False,13:10,14:30,Tuesday,,,,,,
Jet-ISM interaction on galactic scales (positive vs negative feedback,"Understanding the physical processes that connect Active Galactic Nuclei (AGN) to their host galaxies remains an ongoing challenge of extragalactic astrophysics. On the one hand, it is well established that powerful jets can regulate cooling of galactic halo gas, at least in the densest environments. However, there is now a plethora of observational evidence that jets, of all powers, can influence their host galaxies and larger environments in multiple ways. This includes: (1) increased turbulence in the multi-phase interstellar medium (ISM); (2) induced shocks/excitation in ionised and molecular ISM; (3) removal of ISM gas in outflows; (4) interaction between radio lobes and molecular gas on circumgalactic scales. In addition to these negative `feedback’ effects, there is evidence for localised jet-induced star formation in some targets. This jet-induced processes appear to also be important in radiatively dominant (‘radio quiet’) AGN, which can be missed without sensitive radio observations. In this review talk I will give a brief overview of these types of observations and use this to introduce the more detailed talks on specific observational campaigns.",Chris Harrison,Invited,Feedback (circumnuclear and galactic scales),True,14:30,15:00,Tuesday,,,,,,
How do outflows from the AGN affect the star formation activity inside the host galaxy?,"Outflows from AGN are believed to have a profound effect on the evolution of the host galaxy. The local input of the energy by the outflow into the ISM of the host galaxy can alter the physical state of the gas and regulate the star formation activity. We apply a turbulence-regulated model of star formation (published in Mandal et al. 2021) to explore how different processes, such as turbulence, gravity, and cooling affect the evolution of the dense star-forming gas being impacted by AGN-driven outflows. We apply this model to both galactic scale simulations of AGN jet-disk interaction as well as resolved simulations of collision between the outflows and individual star-forming clouds. The latter studies employ a newly developed Poisson solver in the PLUTO code to probe the impact of the self-gravity of dense clouds. We find that the shock from the outflow can induce turbulence inside the gas leading to reduced star formation. Also, the radiative shocks can compress the gas to a very high density making the cloud more prone to become gravitationally unstable to form stars. We also find that such systems can go through different evolutionary phases depending on the degree and strength of the interaction.",Ankush Mandal,Contributed,Feedback (circumnuclear and galactic scales),False,15:00,15:15,Tuesday,,,,,,
